ՏԸՀ N,տեղամաս N,total,part_11,part_14,part_17,part_20
Թիվ 10 ԸԸՀ,13,1818,84,211,329,456
Թիվ 10 ԸԸՀ,14,1602,93,205,324,444
Թիվ 10 ԸԸՀ,15,1730,87,223,388,457
Թիվ 10 ԸԸՀ,16,1819,100,231,341,424
Թիվ 10 ԸԸՀ,17,1810,97,244,331,441
Թիվ 10 ԸԸՀ,18,1850,65,168,258,362
Թիվ 10 ԸԸՀ,19,1819,85,205,322,438
Թիվ 10 ԸԸՀ,20,1616,103,228,336,428
Թիվ 10 ԸԸՀ,21,1809,80,201,304,413
Թիվ 10 ԸԸՀ,22,1739,79,227,367,501
Թիվ 10 ԸԸՀ,23,1738,103,245,355,486
Թիվ 10 ԸԸՀ,24,1731,83,169,277,410
Թիվ 10 ԸԸՀ,25,1546,82,198,308,418
Թիվ 10 ԸԸՀ,26,1746,100,258,366,491
Թիվ 10 ԸԸՀ,27,1735,86,233,334,417
Թիվ 10 ԸԸՀ,28,1831,85,202,329,453
Թիվ 10 ԸԸՀ,29,1828,110,249,385,521
Թիվ 10 ԸԸՀ,30,1864,108,226,312,413
Թիվ 10 ԸԸՀ,31,1594,62,171,261,378
